Ticker,Shares,Ø Kaufpreis,Kurs,Kaufwert,Aktuell,PnL ($),PnL (%),Heute (%),Tage gehalten,Gewicht (%)
HIMS,94.0,26.89,28.82,2528.11,2709.08,180.97,7.16,0.0,739,14.0
IWDA.AS ⚠️,19.104,100.02,116.15,1910.81,2219.03,308.21,16.13,-0.45,739,—
CRWV,11.0,84.14,116.85,925.5,1285.35,359.85,38.88,0.0,181,6.6
MNDY,15.0,99.99,64.99,1499.86,974.85,-525.01,-35.0,0.0,236,5.0
LAC,198.0,3.12,4.84,618.74,958.32,339.58,54.88,0.0,433,5.0
CRM,5.0,223.85,182.14,1119.26,910.7,-208.56,-18.63,0.0,623,4.7
ORCL,5.0,191.3,175.06,956.52,875.3,-81.22,-8.49,0.0,182,4.5
SMCI,29.0,33.71,28.56,977.59,828.24,-149.35,-15.28,0.0,202,4.3
UPST,23.0,34.2,34.57,786.5,795.11,8.61,1.09,0.0,238,4.1
RIVN,46.0,13.34,17.23,613.55,792.58,179.03,29.18,0.0,208,4.1
PAYC,6.0,157.15,126.93,942.9,761.58,-181.32,-19.23,0.0,572,3.9
BYDDY ⚠️,52.0,16.55,14.27,860.74,742.04,-118.7,-13.79,0.0,502,—
JD,22.0,27.63,31.6,607.76,695.2,87.44,14.39,0.0,223,3.6
NIO,99.0,4.9,6.83,485.31,676.17,190.86,39.33,0.0,222,3.5
DOCU,14.0,52.71,45.74,737.94,640.36,-97.58,-13.22,0.0,739,3.3
TTD,28.0,40.02,22.47,1120.61,629.16,-491.45,-43.86,0.0,250,3.3
ALB,3.0,82.19,197.75,246.56,593.25,346.69,140.61,0.0,739,3.1
PLS.AX ⚠️,95.0,1.23,6.04,117.04,573.8,456.76,390.27,0.0,336,—
ENPH,17.0,34.9,32.48,593.28,552.16,-41.12,-6.93,0.0,185,2.9
PATH,45.0,11.48,10.41,516.69,468.45,-48.24,-9.34,0.0,180,2.4
SNPS,1.0,384.0,449.58,384.0,449.58,65.58,17.08,0.0,174,2.3
SEDG,11.0,31.16,38.3,342.81,421.3,78.49,22.9,0.0,223,2.2
ROK,1.0,305.2,415.73,305.2,415.73,110.53,36.22,0.0,186,2.1
OKTA,5.0,77.3,72.25,386.52,361.25,-25.27,-6.54,0.0,459,1.9
DOC,19.0,15.3,17.37,290.7,330.03,39.33,13.53,0.0,32,1.7
UNH,1.0,280.57,324.63,280.57,324.63,44.06,15.7,0.0,251,1.7
UPS,3.0,87.88,106.44,263.64,319.32,55.68,21.12,0.0,83,1.6
MOH,2.0,131.65,148.97,263.3,297.94,34.64,13.16,0.0,35,1.5
AI,29.0,11.51,9.24,333.87,267.96,-65.91,-19.74,0.0,186,1.4
GME,10.0,19.82,24.55,198.2,245.5,47.3,23.86,0.0,62,1.3
SOFI,10.0,21.58,19.43,215.8,194.3,-21.5,-9.96,0.0,196,1.0
PFE,6.0,23.7,27.56,142.2,165.36,23.16,16.29,0.0,32,0.9
PYPL,3.0,39.74,50.81,119.22,152.43,33.21,27.86,0.0,739,0.8
OSCR,9.0,11.84,15.79,106.56,142.11,35.55,33.36,0.0,32,0.7
MP,2.0,70.12,60.99,140.24,121.98,-18.26,-13.02,0.0,187,0.6
