Feature,Importance
realized_vol_21,0.1062916299813467
pct_52w_high,0.08095053976443624
bb_width_20,0.07820041412052761
vol_ret_corr,0.058881535039406796
sma_200_dist,0.05511652253759878
realized_vol_10,0.0481562286730647
sma_50_dist,0.04058750973754993
ema_50_dist,0.03856978811830705
ret_21d,0.03647290452020709
candle_body,0.03591753491136864
realized_vol_5,0.03485149258301852
macd_hist,0.03409435260606201
pct_52w_low,0.030048354779660797
atr_14_pct,0.027957092105297076
lower_wick,0.026764483766960223
gap_open,0.024137364501247722
momentum_composite,0.023867569523450986
vol_ratio,0.020193342776753078
sma_10_dist,0.01940991620893937
vol_ratio_5_21,0.019281819087278405
obv_dist,0.017893386476406575
ret_10d,0.01742267539796428
atr_7_pct,0.01666707698911311
sma_5_dist,0.016462827929656535
ret_5d,0.015916662916323338
rsi_21,0.014408935107507088
ret_2d,0.011290587847462655
bb_pct_b_20,0.011222449578985414
ret_1d,0.009878225944235198
rsi_14,0.00753480701082945
ema_9_dist,0.006196908374065477
ret_3d,0.005664629798197675
rsi_7,0.005171256043256876
ema_21_dist,0.0016338702216018338
upper_wick,0.001540125588257661
sma_20_dist,0.001345179433655182
macd_signal,0.0
